
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
C8:0E:14:29:8F:47, 2016-11-05 01:52:55, 2016-11-05 01:54:35,  6,  54, WPA2, CCMP,PSK, -78,        1,        0,   0.  0.  0.  0,   4, haco, 
3C:7A:8A:F8:37:76, 2016-11-05 01:45:42, 2016-11-05 01:52:01,  6,  -1,     ,       ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
54:E6:FC:DB:9A:DE, 2016-11-05 01:51:51, 2016-11-05 01:54:30,  9,  54, WPA2, CCMP,PSK, -80,       12,        0,   0.  0.  0.  0,  22, DOCWESKER-PC_Network_1, 
3C:7A:8A:F8:58:D0, 2016-11-05 01:51:52, 2016-11-05 01:55:01,  6,  54, WPA2, CCMP,PSK, -81,        2,        0,   0.  0.  0.  0,  10, ARRIS-58D2, 
A0:21:B7:B4:85:4A, 2016-11-05 01:45:56, 2016-11-05 01:56:40, 11,  54, WPA2, CCMP,PSK, -75,        7,        0,   0.  0.  0.  0,   6, DuBart, 
08:96:D7:7A:FC:FD, 2016-11-05 01:45:09, 2016-11-05 01:56:38,  1,  54, WPA2WPA , CCMP TKIP,PSK, -67,       47,        1,   0.  0.  0.  0,  29, FRITZ!Box 6360 Cable Brueggen, 
38:10:D5:0F:A8:74, 2016-11-05 01:45:54, 2016-11-05 01:56:38,  1,  54, WPA2WPA , CCMP TKIP,PSK, -63,      336,        0,   0.  0.  0.  0,  20, FRITZ!Box 6360 Cable, 
00:19:5B:BD:62:6D, 2016-11-05 01:45:27, 2016-11-05 01:57:55,  6,  54, WPA , TKIP,PSK, -78,      417,        0,   0.  0.  0.  0,   5, Adler, 
9C:C7:A6:FC:D7:C2, 2016-11-05 01:45:05, 2016-11-05 01:57:37,  1,  54, WPA2, CCMP,PSK, -73,      366,        4,   0.  0.  0.  0,  23, FRITZ!Box 6490 Cable 2g, 
24:65:11:EA:5E:FC, 2016-11-05 01:45:05, 2016-11-05 01:57:52,  1,  54, WPA2WPA , CCMP TKIP,PSK, -69,      726,       77,   0.  0.  0.  0,  20, FRITZ!Box 6360 Cable, 
3C:7A:8A:F8:37:70, 2016-11-05 01:45:02, 2016-11-05 01:57:55,  6,  54, WPA2, CCMP,PSK, -67,     1459,       10,   0.  0.  0.  0,  10, ARRIS-3772, 
4C:E6:76:64:94:F4, 2016-11-05 01:45:02, 2016-11-05 01:57:57,  5,  54, WPA2WPA , CCMP TKIP,PSK, -56,     2187,      343,   0.  0.  0.  0,  12, 4CE6766494F4, 
3C:7A:8A:82:A7:88, 2016-11-05 01:45:02, 2016-11-05 01:57:56, 11,  54, WPA2, CCMP,PSK, -48,     2026,        0,   0.  0.  0.  0,  10, ARRIS-A78A, 
C8:02:10:5D:6C:41, 2016-11-05 01:45:06, 2016-11-05 01:57:53,  1,  54, WPA2, CCMP,PSK, -42,       73,        0,   0.  0.  0.  0,  20, LG_MusicFlow_DL_3120, 
C8:0E:14:32:84:F5, 2016-11-05 01:45:02, 2016-11-05 01:57:57, 11,  54, WPA2, CCMP,PSK, -44,     2011,        4,   0.  0.  0.  0,  17, FRITZ!Box 4020 HW, 
5C:49:79:21:AF:A1, 2016-11-05 01:45:04, 2016-11-05 01:57:54, 10,  54, WPA2, CCMP,PSK, -37,      458,       24,   0.  0.  0.  0,   6, Avalon, 
5C:49:79:57:FB:73, 2016-11-05 01:45:02, 2016-11-05 01:57:57,  1,  54, WPA2WPA , CCMP TKIP,PSK, -33,     1448,       62,   0.  0.  0.  0,  20, FRITZ!Box 6360 Cable, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:F7:6F:B0:4D:95, 2016-11-05 01:45:45, 2016-11-05 01:56:52, -46,       10, C8:0E:14:32:84:F5, FRITZ!Box 4020 HW
84:7A:88:36:01:24, 2016-11-05 01:46:16, 2016-11-05 01:56:15, -39,       12, 5C:49:79:57:FB:73,
E8:AB:FA:51:16:93, 2016-11-05 01:48:13, 2016-11-05 01:55:24, -70,       12, (not associated) , TENVIS
E4:F8:EF:38:6F:B5, 2016-11-05 01:45:08, 2016-11-05 01:54:53, -63,      299, 4C:E6:76:64:94:F4,
4C:66:41:96:5B:88, 2016-11-05 01:45:42, 2016-11-05 01:52:02, -81,        6, 3C:7A:8A:F8:37:76,
50:1A:C5:DC:C6:04, 2016-11-05 01:47:12, 2016-11-05 01:50:56, -38,        4, 5C:49:79:21:AF:A1,
E0:B5:2D:EB:7C:F8, 2016-11-05 01:50:15, 2016-11-05 01:50:15,  -1,        1, 5C:49:79:21:AF:A1,
94:35:0A:F6:B6:D8, 2016-11-05 01:49:23, 2016-11-05 01:49:23, -71,        2, (not associated) ,
60:A3:7D:DD:F7:4A, 2016-11-05 01:46:04, 2016-11-05 01:46:59, -65,        4, C8:0E:14:32:84:F5,
2E:65:11:BD:3B:8D, 2016-11-05 01:50:16, 2016-11-05 01:50:28, -57,       36, 5C:49:79:21:AF:A1,
AC:CF:5C:6D:8E:7C, 2016-11-05 01:52:31, 2016-11-05 01:52:48, -55,        2, 24:65:11:EA:5E:FC, FRITZ!Box 6360 Cable
5E:43:4A:84:B0:D6, 2016-11-05 01:53:18, 2016-11-05 01:53:18, -73,        1, (not associated) ,
14:D1:1F:7D:CD:2D, 2016-11-05 01:53:25, 2016-11-05 01:54:09, -67,        8, 3C:7A:8A:F8:37:70,
BC:E6:3F:F7:2E:09, 2016-11-05 01:53:21, 2016-11-05 01:54:28, -44,        2, 5C:49:79:57:FB:73,
4A:FF:F1:30:A7:37, 2016-11-05 01:56:41, 2016-11-05 01:56:41, -68,        1, (not associated) ,
A6:79:C1:54:E5:8F, 2016-11-05 01:56:16, 2016-11-05 01:57:51, -75,        8, (not associated) ,
00:37:6D:EB:E6:96, 2016-11-05 01:45:04, 2016-11-05 01:57:48, -73,      245, 4C:E6:76:64:94:F4,
AE:4A:DD:93:56:AF, 2016-11-05 01:56:54, 2016-11-05 01:57:54,   3,       17, (not associated) ,

