
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
24:65:11:EA:5E:FC, 2016-11-05 02:00:28, 2016-11-05 02:00:32,  1,  54, WPA2WPA , CCMP TKIP,PSK, -74,        3,        3,   0.  0.  0.  0,  20, FRITZ!Box 6360 Cable, 
3C:7A:8A:F8:37:70, 2016-11-05 02:00:33, 2016-11-05 02:00:37,  6,  54, WPA2, CCMP,PSK, -71,       18,        0,   0.  0.  0.  0,  10, ARRIS-3772, 
9C:C7:A6:FC:D7:C2, 2016-11-05 02:00:28, 2016-11-05 02:00:32,  1,  54, WPA2, CCMP,PSK, -69,       15,        0,   0.  0.  0.  0,  23, FRITZ!Box 6490 Cable 2g, 
4C:E6:76:64:94:F4, 2016-11-05 02:00:28, 2016-11-05 02:00:37,  5,  54, WPA2WPA , CCMP TKIP,PSK, -64,       39,        0,   0.  0.  0.  0,  12, 4CE6766494F4, 
C8:02:10:5D:6C:41, 2016-11-05 02:00:28, 2016-11-05 02:00:32,  1,  54, WPA2, CCMP,PSK, -40,        5,        0,   0.  0.  0.  0,  20, LG_MusicFlow_DL_3120, 
5C:49:79:57:FB:73, 2016-11-05 02:00:28, 2016-11-05 02:00:32,  1,  54, WPA2WPA , CCMP TKIP,PSK, -31,       48,        2,   0.  0.  0.  0,  20, FRITZ!Box 6360 Cable, 
3C:7A:8A:82:A7:88, 2016-11-05 02:00:38, 2016-11-05 02:00:40, 11,  54, WPA2, CCMP,PSK, -56,       23,        0,   0.  0.  0.  0,  10, ARRIS-A78A, 
C8:0E:14:32:84:F5, 2016-11-05 02:00:38, 2016-11-05 02:00:40, 11,  54, WPA2, CCMP,PSK, -59,       20,        0,   0.  0.  0.  0,  17, FRITZ!Box 4020 HW, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:37:6D:EB:E6:96, 2016-11-05 02:00:34, 2016-11-05 02:00:37, -70,        9, 4C:E6:76:64:94:F4,
BC:E6:3F:F7:2E:09, 2016-11-05 02:00:28, 2016-11-05 02:00:28, -50,        1, 5C:49:79:57:FB:73,
C8:02:10:5D:6C:41, 2016-11-05 02:00:30, 2016-11-05 02:00:30, -41,        1, 24:65:11:EA:5E:FC,
AE:4A:DD:93:56:AF, 2016-11-05 02:00:33, 2016-11-05 02:00:33, -13,        4, (not associated) ,
E0:F8:47:41:F5:DC, 2016-11-05 02:00:32, 2016-11-05 02:00:32,  -1,        2, 24:65:11:EA:5E:FC,

