
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
3C:7A:8A:F8:37:70, 2016-11-05 02:02:02, 2016-11-05 02:24:08,  6,  54, WPA2, CCMP,PSK, -67,     1309,        8,   0.  0.  0.  0,  10, ARRIS-3772, 
24:65:11:EA:5E:FC, 2016-11-05 02:01:58, 2016-11-05 02:16:27,  1,  54, WPA2WPA , CCMP TKIP,PSK, -68,      484,       51,   0.  0.  0.  0,  20, FRITZ!Box 6360 Cable, 
08:96:D7:7A:FC:FD, 2016-11-05 02:09:14, 2016-11-05 02:16:27,  1,  54, WPA2WPA , CCMP TKIP,PSK, -80,       57,        0,   0.  0.  0.  0,  29, FRITZ!Box 6360 Cable Brueggen, 
38:10:D5:0F:A8:74, 2016-11-05 02:09:14, 2016-11-05 02:16:15,  1,  54, WPA2WPA , CCMP TKIP,PSK, -69,        4,        0,   0.  0.  0.  0,  20, FRITZ!Box 6360 Cable, 
A0:21:B7:B4:85:4A, 2016-11-05 02:04:04, 2016-11-05 02:06:24, 11,  54, WPA2, CCMP,PSK, -79,        3,        0,   0.  0.  0.  0,   6, DuBart, 
9C:C7:A6:FC:D7:C2, 2016-11-05 02:02:02, 2016-11-05 02:16:01,  1,  54, WPA2, CCMP,PSK, -70,       48,        1,   0.  0.  0.  0,  23, FRITZ!Box 6490 Cable 2g, 
C8:02:10:5D:6C:41, 2016-11-05 02:01:58, 2016-11-05 02:16:29,  1,  54, WPA2, CCMP,PSK, -38,      177,        0,   0.  0.  0.  0,  20, LG_MusicFlow_DL_3120, 
00:19:5B:BD:62:6D, 2016-11-05 02:02:58, 2016-11-05 02:17:00,  6,  54, WPA , TKIP,PSK, -64,       90,        4,   0.  0.  0.  0,   5, Adler, 
3C:7A:8A:82:A7:88, 2016-11-05 02:01:58, 2016-11-05 02:17:00, 11,  54, WPA2, CCMP,PSK, -54,     2764,        0,   0.  0.  0.  0,  10, ARRIS-A78A, 
4C:E6:76:64:94:F4, 2016-11-05 02:02:02, 2016-11-05 02:17:02,  5,  54, WPA2WPA , CCMP TKIP,PSK, -46,     2751,      693,   0.  0.  0.  0,  12, 4CE6766494F4, 
C8:0E:14:32:84:F5, 2016-11-05 02:02:07, 2016-11-05 02:17:00, 11,  54, WPA2, CCMP,PSK, -44,     2480,       18,   0.  0.  0.  0,  17, FRITZ!Box 4020 HW, 
5C:49:79:57:FB:73, 2016-11-05 02:01:58, 2016-11-05 02:16:52,  1,  54, WPA2WPA , CCMP TKIP,PSK, -41,     1791,       46,   0.  0.  0.  0,  20, FRITZ!Box 6360 Cable, 
5C:49:79:21:AF:A1, 2016-11-05 02:02:35, 2016-11-05 02:16:49, 10,  54, WPA2, CCMP,PSK, -30,      628,       36,   0.  0.  0.  0,   6, Avalon, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
30:A8:DB:1A:57:FE, 2016-11-05 02:24:42, 2016-11-05 02:24:42, -47,       17, (not associated) ,
00:F7:6F:B0:4D:95, 2016-11-05 02:02:33, 2016-11-05 02:24:39, -68,       61, C8:0E:14:32:84:F5, FRITZ!Box 4020 HW
E8:AB:FA:51:16:93, 2016-11-05 02:07:22, 2016-11-05 02:17:00, -71,       11, (not associated) , TENVIS
84:7A:88:36:01:24, 2016-11-05 02:01:58, 2016-11-05 02:13:55, -50,       13, 5C:49:79:57:FB:73,
94:35:0A:F6:B6:D8, 2016-11-05 02:13:57, 2016-11-05 02:13:57, -81,        2, (not associated) ,
CC:20:E8:64:2A:F2, 2016-11-05 02:13:36, 2016-11-05 02:13:36, -67,        2, (not associated) , FRITZ!Box 6360 Cable
5E:D2:B8:B8:93:20, 2016-11-05 02:10:24, 2016-11-05 02:10:24, -76,        1, (not associated) ,
F2:D2:7B:F0:F4:2A, 2016-11-05 02:09:25, 2016-11-05 02:09:37, -78,        2, (not associated) ,
F8:A9:D0:95:43:BC, 2016-11-05 02:08:05, 2016-11-05 02:08:05, -83,        2, (not associated) ,
4A:00:0E:92:3B:F6, 2016-11-05 02:02:39, 2016-11-05 02:02:39, -12,        5, (not associated) ,
BC:E6:3F:F7:2E:09, 2016-11-05 02:01:58, 2016-11-05 02:05:28, -57,        2, 5C:49:79:57:FB:73,
EC:1F:72:B8:C4:7F, 2016-11-05 02:10:29, 2016-11-05 02:10:29, -81,        1, (not associated) ,
BC:03:08:A1:A2:6F, 2016-11-05 02:12:20, 2016-11-05 02:12:20, -81,        1, 00:19:5B:BD:62:6D,
42:D2:8A:81:43:EF, 2016-11-05 02:07:51, 2016-11-05 02:14:42, -79,        4, (not associated) , Nintendo_3DS_continuous_scan_000
00:08:22:BC:23:08, 2016-11-05 02:02:58, 2016-11-05 02:17:00, -86,        4, 00:19:5B:BD:62:6D,
60:A3:7D:DD:F7:4A, 2016-11-05 02:06:53, 2016-11-05 02:16:58, -76,       46, C8:0E:14:32:84:F5, FRITZ!Box 4020 HW
00:37:6D:EB:E6:96, 2016-11-05 02:02:24, 2016-11-05 02:16:29, -63,      237, 4C:E6:76:64:94:F4,
E0:B5:2D:EB:7C:F8, 2016-11-05 02:13:17, 2016-11-05 02:16:48, -63,        5, 5C:49:79:21:AF:A1,
00:27:10:D1:C6:9C, 2016-11-05 02:16:26, 2016-11-05 02:16:38, -58,        9, 00:19:5B:BD:62:6D,
C8:02:10:5D:6C:41, 2016-11-05 02:05:31, 2016-11-05 02:16:27, -39,       11, 24:65:11:EA:5E:FC, FRITZ!Box 6360 Cable
14:D1:1F:7D:CD:2D, 2016-11-05 02:03:01, 2016-11-05 02:25:37, -73,       57, 3C:7A:8A:F8:37:70,
E4:F8:EF:38:6F:B5, 2016-11-05 02:03:02, 2016-11-05 02:25:12, -71,      621, 4C:E6:76:64:94:F4,
