Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;ARRIS-3772;3C:7A:8A:F8:37:70;;6;No;WPA2,AES-CCM;No;54.0;0;1309;0;8;0;0;8;;;Sat Nov  5 02:02:02 2016;Sat Nov  5 02:24:08 2016;-67;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;FRITZ!Box 6360 Cable;24:65:11:EA:5E:FC;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;484;0;51;0;0;51;;;Sat Nov  5 02:01:58 2016;Sat Nov  5 02:16:27 2016;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;FRITZ!Box 6360 Cable Brueggen;08:96:D7:7A:FC:FD;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;57;0;0;0;0;0;;;Sat Nov  5 02:09:14 2016;Sat Nov  5 02:16:27 2016;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;FRITZ!Box 6360 Cable;38:10:D5:0F:A8:74;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;4;0;0;0;0;0;;;Sat Nov  5 02:09:14 2016;Sat Nov  5 02:16:15 2016;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;DuBart;A0:21:B7:B4:85:4A;;11;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Sat Nov  5 02:04:04 2016;Sat Nov  5 02:06:24 2016;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;FRITZ!Box 6490 Cable 2g;9C:C7:A6:FC:D7:C2;;1;No;WPA2,AES-CCM;No;54.0;0;48;0;1;0;0;1;;;Sat Nov  5 02:02:02 2016;Sat Nov  5 02:16:01 2016;-70;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;LG_MusicFlow_DL_3120;C8:02:10:5D:6C:41;;1;No;WPA2,AES-CCM;No;54.0;0;177;0;0;0;0;0;;;Sat Nov  5 02:01:58 2016;Sat Nov  5 02:16:29 2016;-38;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;Adler;00:19:5B:BD:62:6D;;6;No;WPA,TKIP;No;54.0;0;90;0;4;0;0;4;;;Sat Nov  5 02:02:58 2016;Sat Nov  5 02:17:00 2016;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;ARRIS-A78A;3C:7A:8A:82:A7:88;;11;No;WPA2,AES-CCM;No;54.0;0;2764;0;0;0;0;0;;;Sat Nov  5 02:01:58 2016;Sat Nov  5 02:17:00 2016;-54;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;4CE6766494F4;4C:E6:76:64:94:F4;;5;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;2751;0;693;0;0;693;;;Sat Nov  5 02:02:02 2016;Sat Nov  5 02:17:02 2016;-46;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;FRITZ!Box 4020 HW;C8:0E:14:32:84:F5;;11;No;WPA2,AES-CCM;No;54.0;0;2480;0;18;0;0;18;;;Sat Nov  5 02:02:07 2016;Sat Nov  5 02:17:00 2016;-44;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;FRITZ!Box 6360 Cable;5C:49:79:57:FB:73;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;1791;0;46;0;0;46;;;Sat Nov  5 02:01:58 2016;Sat Nov  5 02:16:52 2016;-41;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;Avalon;5C:49:79:21:AF:A1;;10;No;WPA2,AES-CCM;No;54.0;0;628;0;36;0;0;36;;;Sat Nov  5 02:02:35 2016;Sat Nov  5 02:16:49 2016;-30;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
